trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
133,False,"{'e': 0.2627125872502282, 'a': 0.2}",20,0,14.047751370081103,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
134,False,"{'e': 0.2600854613777259, 'a': 0.2}",25,0,-36.74105123695768,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
135,False,"{'e': 0.2574846067639487, 'a': 0.2}",25,14,10.383124319749092,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
136,False,"{'e': 0.2549097606963092, 'a': 0.2}",25,7,20.42345408610242,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'e': 0.2523606630893461, 'a': 0.2}",20,5,11.521047328322872,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'e': 0.24983705645845267, 'a': 0.2}",25,11,-22.123029098418222,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
139,False,"{'e': 0.24733868589386815, 'a': 0.2}",25,16,16.334354225297872,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'e': 0.24486529903492946, 'a': 0.2}",20,6,-90.72420568384973,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
141,False,"{'e': 0.24241664604458016, 'a': 0.2}",20,10,18.34718939134494,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'e': 0.23999247958413436, 'a': 0.2}",25,15,-7.727277786716074,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'e': 0.23759255478829303, 'a': 0.2}",25,18,-0.7088554839287067,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'e': 0.2352166292404101, 'a': 0.2}",35,17,-4.995933093687126,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
145,False,"{'e': 0.232864462948006, 'a': 0.2}",20,2,-10.751777157155388,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
146,False,"{'e': 0.23053581831852593, 'a': 0.2}",20,0,-56.16137408360837,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
147,False,"{'e': 0.22823046013534068, 'a': 0.2}",20,0,22.990809107548397,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'e': 0.22594815553398728, 'a': 0.2}",20,8,-24.103388418589383,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'e': 0.22368867397864742, 'a': 0.2}",20,0,3.7723627577101952,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
150,False,"{'e': 0.22145178723886094, 'a': 0.2}",20,6,-40.40549548426156,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
151,False,"{'e': 0.21923726936647234, 'a': 0.2}",20,14,10.110399308294266,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'e': 0.2170448966728076, 'a': 0.2}",30,18,23.018193752835426,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'e': 0.21487444770607952, 'a': 0.2}",20,11,-8.942823400329253,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
154,False,"{'e': 0.21272570322901874, 'a': 0.2}",20,15,-1.7134025000822102,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'e': 0.21059844619672854, 'a': 0.2}",20,11,-39.160825995040554,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
156,False,"{'e': 0.20849246173476127, 'a': 0.2}",25,5,-69.93160847632174,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
157,False,"{'e': 0.20640753711741366, 'a': 0.2}",25,0,14.432167271436274,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
158,False,"{'e': 0.20434346174623952, 'a': 0.2}",30,21,13.14371581648671,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'e': 0.20230002712877712, 'a': 0.2}",20,12,16.368911712744595,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'e': 0.20027702685748935, 'a': 0.2}",30,5,-20.16602515057494,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
161,False,"{'e': 0.19827425658891445, 'a': 0.2}",25,8,-4.000425060267443,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
162,False,"{'e': 0.1962915140230253, 'a': 0.2}",25,10,-29.92560529369135,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
163,False,"{'e': 0.19432859888279505, 'a': 0.2}",20,9,11.920022886670314,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'e': 0.1923853128939671, 'a': 0.2}",30,16,9.487678998322409,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'e': 0.19046145976502743, 'a': 0.2}",30,19,13.005687109717528,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'e': 0.18855684516737714, 'a': 0.2}",20,7,17.499787524231316,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
